No,Title,Source,Link
42,'과거 시험인줄…' 축구장 필기시험 화제…英매체 소개,뉴시스,http://www.newsis.com/view/?id=NISX20200406_0000983685&cID=10503&pID=10500
43,"타지키스탄, 무관중으로 프로축구 개막 강행",서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200406025007&wlog_tag3=naver
44,최고의 축구선수는?…카카의 선택은 메시·팬들은 호날두,연합뉴스,http://yna.kr/AKR20200405035300007?did=1195m
45,유럽축구 최고 스타들 `손흥민 찬가`,매일경제,http://news.mk.co.kr/newsRead.php?no=359086&year=2020
46,"""맨시티, 축구게임서 뮌헨 꺾고 유럽챔스 우승"" 英 더선",뉴시스,http://www.newsis.com/view/?id=NISX20200406_0000984719&cID=10523&pID=10500
47,[엠스플 축구] 상주 후방 ‘리더’ 권경원 “50실점 이하로 막아야죠”,엠스플뉴스,https://www.mbcsportsplus.com/news/?mode=view&cate=29&b_idx=99815881.000
48,"[창녕군 브리핑] 축구협회, 코로나19 극복 성금 기탁",베타뉴스,http://www.betanews.net:8080/article/1160367.html
49,"[해외축구 정리] '올스톱' 유럽 리그, 코리안리거 현재 성적은?",헤럴드경제,http://news.heraldcorp.com/sports/view.php?ud=202004061753264615496_1
50,"베트남축구협회, “박항서 감독 연봉 삭감 없다…계약대로 이행”",OSEN,http://www.osen.co.kr/article/G1111335041
51,"안도한 김학범 감독 ""올림픽 출전연령 조정, 축구협회에 감사""",풋볼리스트,http://www.footballist.co.kr/news/articleView.html?idxno=122554
52,2만5천명 국가시험 논란…접촉 막으려 '축구장 시험'도,JTBC언론사 선정,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11943651
53,"코로나19에도 이탈리아축구협회장 ""10월까지 완주해야""",뉴시스,http://www.newsis.com/view/?id=NISX20200406_0000983607&cID=10523&pID=10500
54,"맨유 마타 “축구 인생 최고의 순간은 2010 월드컵 우승, 최악은 첼시 시절”",스포츠동아,https://sports.donga.com/article/all/20200407/100537890/2
55,호나우지뉴 축구게임에서 삭제된다…감옥 생활 여파,MK스포츠,http://mksports.co.kr/view/2020/359939/
56,축구장이 '과거 시험장'으로… 채용도 '사회적 거리두기',조선비즈언론사 선정,https://biz.chosun.com/site/data/html_dir/2020/04/04/2020040401468.html?utm_source=naver&utm_medium=original&utm_campaign=biz
57,"이탈리아축구협회, 세리에A 5월 재개설 거론",스포츠경향,http://sports.khan.co.kr/news/sk_index.html?art_id=202004061741003&sec_id=520401&pt=nv
58,코로나가 만든 '21세기 과거제'···축구장서 139명 공사 시험,중앙일보언론사 선정,https://news.joins.com/article/olink/23341732
59,"김길식 안산 감독 ""피, 땀, 눈물... 포기 모르는 근성축구 보여주겠다""[인터뷰]",스포츠조선,http://sports.chosun.com/news/ntype.htm?id=202004070100052340002963&servicedate=20200406
60,고성군 미인여성축구단 성금 100만원 전달,경남데일리,http://www.kndaily.co.kr/news/articleView.html?idxno=150005
